,0
0,0.5829875
1,0.451675
2,0.6012375000000001
3,0.36867500000000003
4,0.05454999999999999
5,0.459475
6,0.44937499999999997
7,0.37637499999999996
8,0.420275
9,0.46322500000000005
10,0.7606625
11,0.568875
12,0.5006375000000001
13,0.500825
14,0.37895
15,0.5226500000000001
16,0.25155
17,0.7818375
18,0.26395
19,0.493775
20,0.6314000000000001
21,0.43234999999999996
22,0.6679625
23,0.7014875
24,0.6186875000000001
25,0.26365
26,0.718825
27,0.7619875
28,0.36842500000000006
29,0.29941249999999997
30,0.39335000000000003
31,0.7321375
32,0.8111875000000001
33,0.3684625
34,0.07616249999999998
35,-0.03701249999999999
36,0.1549375
37,0.75725
38,0.6247625
39,0.2670875
40,0.629325
41,0.666675
42,0.4226
43,0.5133624999999999
44,0.26865
45,0.30822499999999997
46,0.361825
47,-0.19317499999999999
48,0.47890000000000005
49,0.51935
50,0.49515000000000003
51,0.5554250000000001
52,0.20066249999999997
53,0.82315
54,0.014412499999999981
55,0.31227499999999997
56,0.35145714285714286
57,0.47702500000000003
58,0.4602875
59,0.31383750000000005
60,0.7624000000000001
61,-0.08906249999999999
62,0.6764625
63,0.32818749999999997
64,0.26315000000000005
65,0.7266625
66,0.317425
67,0.1676125
68,0.5441
69,0.343525
70,0.4470125
71,0.5508875
72,0.5842625
73,0.33871249999999997
74,0.6327
75,0.31682499999999997
76,0.3307875
77,0.4521
78,0.271925
79,0.6852125
80,0.47065
81,0.7078749999999999
82,0.2713375
83,0.4663625
84,0.6539625
85,0.5744125
86,0.5169125
87,0.5997375
88,0.5791875
89,0.764625
90,0.6674125000000001
91,0.4045
92,0.7140124999999999
93,0.4725375
94,0.71195
95,0.5964125
96,0.7026125
97,0.640525
98,0.610025
99,0.81445
